id	title	meter	full	p1	p2	p3	p4	pr_p1	pr_p2	pr_p3	pr_p4	needs_split_practice	has_p12	has_p34	mode	artha_sa	meaning_en
ak_01_060	स्वर्गवर्गः 55		सन्तानः कल्पवृक्षश्च पुंसि वा हरिचन्दनम् । सनत्कुमारो वैधात्रः स्वर्वैद्यावश्विनीसुतौ ॥६०॥	सन्तानः कल्पवृक्षश्च पुंसि वा हरिचन्दनम् ।		सनत्कुमारो वैधात्रः स्वर्वैद्यावश्विनीसुतौ ॥६०॥						TRUE	TRUE	TRUE			
ak_01_061	स्वर्गवर्गः 56		नासत्यावश्विनौ दस्रावाश्विनेयौ च तावुभौ । स्त्रियां बहुष्वप्सरसः स्वर्वेश्या उर्वशीमुखाः ॥६१॥	नासत्यावश्विनौ दस्रावाश्विनेयौ च तावुभौ ।		स्त्रियां बहुष्वप्सरसः स्वर्वेश्या उर्वशीमुखाः ॥६१॥						TRUE	TRUE	TRUE			
ak_01_062	स्वर्गवर्गः 57		हाहा हूहूश्चैवमाद्या गन्धर्वास्त्रिदिवौकसाम् । अग्निर्वैश्वानरो वह्निर्वीतिहोत्रो धनञ्जयः ॥६२॥	हाहा हूहूश्चैवमाद्या गन्धर्वास्त्रिदिवौकसाम् ।		अग्निर्वैश्वानरो वह्निर्वीतिहोत्रो धनञ्जयः ॥६२॥						TRUE	TRUE	TRUE			
ak_01_063	स्वर्गवर्गः 58		कृपीटयोनिर्ज्वलनो जातवेदास्तनूनपात् । बर्हिः शुष्मा कृष्णवर्त्मा शोचिष्केश उषर्बुधः ॥६३॥	कृपीटयोनिर्ज्वलनो जातवेदास्तनूनपात् ।		बर्हिः शुष्मा कृष्णवर्त्मा शोचिष्केश उषर्बुधः ॥६३॥						TRUE	TRUE	TRUE			
ak_01_064	स्वर्गवर्गः 59		आश्रयाशो बृहद्भानुः कृशानुः पावकोऽनलः । रोहिताश्वो वायुसखः शिखावानाशुशुक्षणिः ॥६४॥	आश्रयाशो बृहद्भानुः कृशानुः पावकोऽनलः ।		रोहिताश्वो वायुसखः शिखावानाशुशुक्षणिः ॥६४॥						TRUE	TRUE	TRUE			
ak_01_065	स्वर्गवर्गः 60		हिरण्यरेता हुतभुग् दहनो हव्यवाहनः । सप्तार्चिर्दमुनाः शुक्रश्चित्रभानुर्विभावसुः ॥६५॥	हिरण्यरेता हुतभुग् दहनो हव्यवाहनः ।		सप्तार्चिर्दमुनाः शुक्रश्चित्रभानुर्विभावसुः ॥६५॥						TRUE	TRUE	TRUE			
ak_01_066	स्वर्गवर्गः 61		शुचिरप्पित्तमौर्वस्तु वाडवो वडवानलः । वह्नेर्द्वयोर्ज्वालकीलावर्चिर्हेतिः शिखा स्त्रियाम् ॥६६॥	शुचिरप्पित्तमौर्वस्तु वाडवो वडवानलः ।		वह्नेर्द्वयोर्ज्वालकीलावर्चिर्हेतिः शिखा स्त्रियाम् ॥६६॥						TRUE	TRUE	TRUE			
ak_01_067	स्वर्गवर्गः 62		त्रिषु स्फुलिङ्गोऽग्निकणः संतापः संज्वरः समौ । उल्का स्यान् निर्गतज्वाला भूतिर्भसितभस्मनी ॥६७॥	त्रिषु स्फुलिङ्गोऽग्निकणः संतापः संज्वरः समौ ।		उल्का स्यान् निर्गतज्वाला भूतिर्भसितभस्मनी ॥६७॥						TRUE	TRUE	TRUE			
ak_01_068	स्वर्गवर्गः 63		क्षारो रक्षा च दावस्तु दवो वनहुताशनः । धर्मराजः पितृपतिः समवर्ती परेतराट् ॥६८॥	क्षारो रक्षा च दावस्तु दवो वनहुताशनः ।		धर्मराजः पितृपतिः समवर्ती परेतराट् ॥६८॥						TRUE	TRUE	TRUE			
ak_01_069	स्वर्गवर्गः 64		कृतान्तो यमुनाभ्राता शमनो यमराड् यमः । कालो दण्डधरः श्राद्धदेवो वैवस्वतोऽन्तकः ॥६९॥	कृतान्तो यमुनाभ्राता शमनो यमराड् यमः ।		कालो दण्डधरः श्राद्धदेवो वैवस्वतोऽन्तकः ॥६९॥						TRUE	TRUE	TRUE			
